Stock,label
1876,1
291,1
288,1
2319,1
322,1
151,1
6186,1
168,1
220,1
1044,1
6808,1
6055,1
1579,1
345,1
546,1
336,1
506,1
1610,1
1117,1
1112,1
142,1
16,2
1109,2
688,2
12,2
1113,2
1972,2
960,2
4,2
83,2
1997,2
3311,2
247,2
1735,2
101,2
914,2
1908,2
3900,2
53,2
123,2
1800,2
683,2
1918,2
6098,2
17,2
2669,2
390,2
3323,2
817,2
1030,2
2202,2
10,2
14,2
1313,2
2869,2
754,2
1186,2
2128,2
2233,2
41,2
604,2
1783,2
81,2
2777,2
71,2
119,2
941,3
762,3
6823,3
728,3
788,3
8,3
1883,3
941,3
762,3
6823,3
728,3
788,3
8,3
1883,3
66,4
1928,4
27,4
1913,4
175,4
2313,4
6862,4
1929,4
293,4
3998,4
780,4
2588,4
2331,4
881,4
1585,4
2282,4
3606,4
1128,4
2333,4
1910,4
772,4
551,4
136,4
753,4
69,4
880,4
1999,4
1055,4
6110,4
425,4
1797,4
1114,4
1368,4
3918,4
1860,4
1070,4
1060,4
670,4
2232,4
2225,4
1836,4
921,4
839,4
179,4
45,4
1896,4
2299,4
1773,4
1448,4
2238,4
590,4
1361,4
3306,4
1316,4
200,4
751,4
3709,4
667,4
316,5
2382,5
3808,5
1308,5
144,5
2018,5
3800,5
868,5
1919,5
1882,5
968,5
2357,5
1888,5
1415,5
2338,5
148,5
1766,5
2039,5
1199,5
631,5
152,5
3898,5
636,5
586,5
1196,5
576,5
2343,5
3877,5
177,5
3996,5
2727,5
489,5
1157,5
1138,5
906,5
819,5
1478,5
3393,5
598,5
1052,5
317,5
3339,5
6198,5
2,6
1038,6
3,6
6,6
836,6
135,6
1193,6
2688,6
2638,6
2380,6
384,6
392,6
270,6
1816,6
371,6
916,6
257,6
902,6
3633,6
1381,6
1083,6
1811,6
991,6
855,6
3868,6
956,6
1071,6
939,7
5,7
1299,7
945,7
1398,7
388,7
2318,7
3988,7
2388,7
2888,7
3328,7
11,7
2378,7
3968,7
1288,7
2628,7
1658,7
2328,7
998,7
2601,7
6030,7
1821,7
966,7
6818,7
1339,7
412,7
6881,7
3908,7
23,7
1988,7
1336,7
3360,7
6837,7
6886,7
2799,7
6099,7
1776,7
6060,7
1359,7
2611,7
6066,7
2016,7
3618,7
1788,7
2356,7
1963,7
165,7
440,7
3698,7
697,7
6069,7
1709,7
3866,7
883,8
857,8
1088,8
386,8
3668,8
1898,8
1171,8
639,8
3899,8
2883,8
1277,8
1921,8
934,8
975,8
2386,8
467,8
6160,9
3692,9
1801,9
1177,9
2269,9
1093,9
241,9
3320,9
1099,9
1548,9
1066,9
3933,9
867,9
2359,9
1833,9
512,9
1530,9
6855,9
9969,9
2607,9
570,9
853,9
2005,9
2186,9
2666,9
1951,9
1513,9
2196,9
2877,9
1302,9
3613,9
1681,9
460,9
1789,9
2899,10
486,10
1208,10
1818,10
3993,10
1258,10
2600,10
358,10
2099,10
2689,10
1907,10
3939,10
1164,10
189,10
1787,10
2314,10
1772,10
297,10
2362,10
700,11
1810,11
981,11
982,11
285,11
3888,11
1347,11
522,11
268,11
6088,11
354,11
763,11
303,11
1357,11
2400,11
1686,11
552,11
696,11
3396,11
1729,11
2038,11
856,11
3738,11
3969,11
267,12
1,12
19,12
656,12
659,12
87,12
363,12
